"","Class","Curated ID","Final ID (BLASTn)","Total reads","Total abundance","Ponte_Full_2020_MCE_Reads","Ponte_Full_2020_MCE_ASVs","Ponte_Full_2020_MCE_OTUs","Ponte_Full_2020_MCE_RRA","Fundação_Full_2020_MCE_Reads","Fundação_Full_2020_MCE_ASVs","Fundação_Full_2020_MCE_OTUs","Fundação_Full_2020_MCE_RRA","Prainha_Low_2021_MCE_Reads","Prainha_Low_2021_MCE_ASVs","Prainha_Low_2021_MCE_OTUs","Prainha_Low_2021_MCE_RRA","Barragem_Low_2021_MCE_Reads","Barragem_Low_2021_MCE_ASVs","Barragem_Low_2021_MCE_OTUs","Barragem_Low_2021_MCE_RRA","Ponte_Low_2021_MCE_Reads","Ponte_Low_2021_MCE_ASVs","Ponte_Low_2021_MCE_OTUs","Ponte_Low_2021_MCE_RRA","Fundação_Low_2021_MCE_Reads","Fundação_Low_2021_MCE_ASVs","Fundação_Low_2021_MCE_OTUs","Fundação_Low_2021_MCE_RRA","Prainha_Low_2021_Sterivex_Reads","Prainha_Low_2021_Sterivex_ASVs","Prainha_Low_2021_Sterivex_OTUs","Prainha_Low_2021_Sterivex_RRA","Barragem_Low_2021_Sterivex_Reads","Barragem_Low_2021_Sterivex_ASVs","Barragem_Low_2021_Sterivex_OTUs","Barragem_Low_2021_Sterivex_RRA","Ponte_Low_2021_Sterivex_Reads","Ponte_Low_2021_Sterivex_ASVs","Ponte_Low_2021_Sterivex_OTUs","Ponte_Low_2021_Sterivex_RRA","Fundação_Low_2021_Sterivex_Reads","Fundação_Low_2021_Sterivex_ASVs","Fundação_Low_2021_Sterivex_OTUs","Fundação_Low_2021_Sterivex_RRA","Prainha_Full_2022_MCE_Reads","Prainha_Full_2022_MCE_ASVs","Prainha_Full_2022_MCE_OTUs","Prainha_Full_2022_MCE_RRA","Barragem_Full_2022_MCE_Reads","Barragem_Full_2022_MCE_ASVs","Barragem_Full_2022_MCE_OTUs","Barragem_Full_2022_MCE_RRA","Ponte_Full_2022_MCE_Reads","Ponte_Full_2022_MCE_ASVs","Ponte_Full_2022_MCE_OTUs","Ponte_Full_2022_MCE_RRA","Fundação_Full_2022_MCE_Reads","Fundação_Full_2022_MCE_ASVs","Fundação_Full_2022_MCE_OTUs","Fundação_Full_2022_MCE_RRA"
"1","Aves","Anas platyrhynchos","Anas platyrhynchos",36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,1,0.0126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Actinopteri","Astyanax bimaculatus","Astyanax bimaculatus",23034,23034,11,1,1,0.0019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10741,4,1,3.7563,82,1,1,0.0263,11972,4,1,5.0229,86,1,1,9.1979,85,1,1,0.1466,57,1,1,0.0466,NA,NA,NA,NA,NA,NA,NA,NA
"3","Actinopteri","Astyanax lacustris","Astyanax lacustris",135194,135194,12414,6,4,2.1984,54,1,1,0.1304,2432,4,4,0.5402,12514,4,4,1.7504,432,2,2,0.1027,83,2,2,0.0161,41699,10,4,14.5828,55,1,1,0.0177,65374,11,5,27.4277,41,1,1,4.385,41,1,1,0.0707,55,1,1,0.045,NA,NA,NA,NA,NA,NA,NA,NA
"4","Mammalia","Bos taurus","Bos taurus",30571,30571,3026,2,2,0.5359,NA,NA,NA,NA,4362,7,6,0.9689,NA,NA,NA,NA,727,4,2,0.1728,3,1,1,6e-04,18964,4,1,6.632,26,1,1,0.0083,3400,1,1,1.4265,13,1,1,1.3904,34,1,1,0.0586,16,1,1,0.0131,NA,NA,NA,NA,NA,NA,NA,NA
"5","Aves","Cairina moschata","Cairina moschata",20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,1,0.0084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Mammalia","Canis familiaris","Canis lupus familiaris",199,199,NA,NA,NA,NA,11,1,1,0.0266,15,2,2,0.0033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,1,1,0.0262,15,1,1,0.0048,20,1,1,0.0084,13,1,1,1.3904,11,1,1,0.019,39,1,1,0.0319,NA,NA,NA,NA,NA,NA,NA,NA
"7","Mammalia","Capra hircus","Capra hircus",168,168,NA,NA,NA,NA,NA,NA,NA,NA,168,2,2,0.0373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Mammalia","Cavia magna","Cavia magna",1053,1053,1043,2,2,0.1847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,0.0035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Actinopteri","Characidae 1","Planaltina myersi",32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1,1,0.0552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Actinopteri","Characidium sp.","Characidium sp.",8,8,8,1,1,0.0014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Actinopteri","Clarias gariepinus","Clarias gariepinus",1078,1078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1074,1,1,0.3756,4,1,1,0.0013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Actinopteri","Colossoma macropomum","Piaractus brachypomus",30,30,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,7e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,1,0.0067,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,0.0103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Actinopteri","Coptodon rendalli","Coptodon zillii",34,1890972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2,2,0.0048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Actinopteri","Coptodon rendalli","Tilapia rendalli",1890938,1890972,49335,2,2,8.7369,18615,2,1,44.9594,131642,11,3,29.2416,469308,15,2,65.645,332081,12,4,78.9228,494088,17,3,95.7826,87608,7,2,30.638,202706,19,7,65.0652,204,1,1,0.0856,170,1,1,18.1818,161,1,1,0.2776,105020,12,2,85.92,NA,NA,NA,NA,NA,NA,NA,NA
"15","Actinopteri","Ctenopharyngodon idella","Ctenopharyngodon idella",4217,4217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0.001,6,1,1,0.0019,4205,1,1,1.7642,3,1,1,0.3209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Mammalia","Dasypus septemcinctus","Dasypus septemcinctus",47,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1,1,0.0164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Mammalia","Didelphis albiventris","Didelphis albiventris",25,25,NA,NA,NA,NA,NA,NA,NA,NA,25,2,2,0.0056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Actinopteri","Eigenmannia sp.","Eigenmannia sp.",43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,0.0017,NA,NA,NA,NA,23,1,1,0.0096,4,1,1,0.4278,4,1,1,0.0069,7,1,1,0.0057,NA,NA,NA,NA,NA,NA,NA,NA
"19","Actinopteri","Eigenmannia virescens","Eigenmannia virescens",94,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,0.001,12,2,2,0.0029,NA,NA,NA,NA,32,1,1,0.0112,6,1,1,0.0019,5,1,1,0.0021,20,1,1,2.139,9,1,1,0.0155,3,1,1,0.0025,NA,NA,NA,NA,NA,NA,NA,NA
